"burst_date_mother","position_mother_L","nature_mother_V","probas"
"1","0","0",3.4568650616532
"2","0","0",3.55720194448357
"3","0","0",2.73058762905636
"4","0","0",3.75906921465196
"5","0","0",3.00000000000002
"10","0","0",0.980229080548831
"12","0","0",3.15964857931785
"1","1","0",1.6557730124358
"2","1","0",1.70383248244097
"3","1","0",1.30789985250982
"4","1","0",1.80052308854726
"5","1","0",1.43694328494612
"10","1","0",0.469511198334514
"12","1","0",1.5134119362801
"1","0","1",2.02500924169195
"2","0","1",2.08378594005601
"3","0","1",1.599560609243
"4","0","1",2.20203848402157
"5","0","1",1.75738063729065
"10","0","1",0.574211868755241
"12","0","1",1.85090174464536
"1","1","1",0.969941143934354
"2","1","1",0.9980940712762
"3","1","1",0.766159292105346
"4","1","1",1.05473480426923
"5","1","1",0.841752101949706
"10","1","1",0.275036629648067
"12","1","1",0.886546944354394
"6","0","0",0
"7","0","0",0
"8","0","0",0
"9","0","0",0
"11","0","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"9","1","0",0
"11","1","0",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"9","0","1",0
"11","0","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"9","1","1",0
"11","1","1",0
